"","id_jogador","nome_jogador","id_partida","data_nascimento_jogador","posicao","altura","nome_temporada","minutos_partida_jogador","pontos_equipe_casa","pontos_equipe_fora","pontos_total_jogador","pontos_total_jogador_e_pontos_perdidos_jogador","arremessos_2_certos_jogador","arremessos_2_total_jogador","arremessos_3_certos_jogador","arremessos_3_total_jogador","arremessos_lance_livre_certos_jogador","arremessos_lance_livre_total_jogador","rebotes_ofensivos_jogador","rebotes_defensivos_jogador","rebotes_total_jogador","assistencias_total_jogador","roubadas_bola_jogador","tocos_total_jogador","faltas_cometidas_jogador","faltas_recebidas_jogador","erros_jogador","violacao_jogador","enterradas_total_jogador","enterradas_total_jogador","eficiencia_jogador"
"42",147,"Alexandro da Silva de Oliveira",1861,"17/08/1983","Ala",NA,"2008/2009",6492523.05,75,74,386,1212,94,161,44,130,66,114,44,60,104,59,25,7,71,0,59,0,21,21,321
"43",149,"Fernando Fischer",1861,"14/08/1981","AlaArmador",1.9,"2008/2009",4274503.45,75,74,357,1053,44,89,73,153,50,59,18,50,68,26,25,1,50,0,22,0,0,0,321
"44",151,"Edwandesson Carvalho",1846,"29/03/1987","AlaArmador",1.96,"2008/2009",4684769.2,79,69,421,1409,103,192,49,159,68,127,23,55,78,43,34,13,76,0,76,0,32,32,255
"45",152,"Hélio Vitor Luiz da Costa Lima",1885,"14/11/1981","AlaArmador",1.87,"2008/2009",4566252.25,76,68,324,951,91,158,34,84,40,59,29,62,91,113,32,1,47,0,55,0,1,1,368
"46",153,"Frederico Lima Santos",1884,"08/06/1980","Armador",1.84,"2008/2009",2724166.2,82,78,146,427,29,53,19,45,31,40,7,34,41,69,17,0,28,0,25,0,0,0,189
"47",154,"Jefferson William Andrade da Silva Antônio",1885,"29/03/1983","AlaPivo",2.07,"2008/2009",6189525.8,76,68,470,1449,85,161,77,190,69,87,57,183,240,55,35,17,92,0,65,0,6,6,544
"48",155,"Luiz Felipe Campos Lemes",1878,"06/10/1980","AlaArmador",1.9,"2008/2009",5689100.4,90,101,239,746,42,75,38,103,41,48,10,47,57,86,17,4,46,0,45,0,0,0,253
"49",159,"William Fournou Drudi",1868,"22/09/1981","Pivo",2.02,"2008/2009",5396291,64,59,369,1044,138,276,0,3,93,114,46,143,189,32,15,12,72,0,49,0,3,3,406
"50",161,"Thiago Perez Pereira da Silva",1850,"09/12/1982","Ala",1.93,"2008/2009",2453190.85,88,68,105,339,9,28,20,46,27,40,8,27,35,20,11,0,31,0,22,0,0,0,91
"51",165,"Leandro Da Cruz Silva",1876,"15/05/1981","AlaPivo",2.03,"2008/2009",5212347.3,89,79,222,634,38,75,30,64,56,70,26,67,93,27,31,8,65,0,29,0,5,5,267
"52",166,"Vinícius Villela Gobor",1820,"03/09/1990","Armador",NA,"2008/2009",1185771.1,78,62,81,225,12,26,15,26,12,14,3,19,22,21,8,0,29,0,28,0,0,0,77
"53",167,"Rodrigo César Silva",1806,"28/02/1988","AlaPivo",2.05,"2008/2009",28.45,101,70,8,19,0,0,2,3,2,2,2,7,9,4,0,1,2,0,6,0,0,0,15
"54",168,"Guilherme Santos Hubner",1771,"28/04/1987","AlaPivo",2.1,"2008/2009",258346.7,83,78,9,25,4,7,0,0,1,2,4,1,5,0,0,1,2,0,2,0,1,1,9
"55",174,"Alessandro Magno Rocha Dos Santos",1846,"07/05/1977","AlaPivo",2.03,"2008/2009",2356125.35,79,69,244,720,51,89,30,79,52,61,34,82,116,19,34,6,66,0,44,0,10,10,279
"56",175,"Thiago Farias Mathias Rosa",1796,"28/07/1989","Pivo",NA,"2008/2009",460884.5,85,75,28,79,12,20,0,1,4,8,11,14,25,1,3,7,26,0,5,0,2,2,46
"57",178,"Marcos Vinícius Inácio",1847,"10/08/1984","Pivo",2.05,"2008/2009",2465614.2,95,70,116,340,39,70,3,14,29,42,14,54,68,15,3,22,61,0,28,0,11,11,141
"58",180,"Fernando Carneiro Coloneze",1883,"13/07/1978","Pivo",2.07,"2008/2009",5837655.55,99,78,169,420,57,89,0,0,55,73,32,72,104,11,9,9,56,0,33,0,8,8,219
"59",182,"Guilherme Frantz Teichmann",1866,"03/09/1983","AlaPivo",2.04,"2008/2009",6146217.05,89,95,423,1279,146,251,25,86,56,96,52,176,228,57,49,64,90,0,60,0,44,44,555
"60",187,"Murilo Becker da Rosa",1878,"14/07/1983","Pivo",2.08,"2008/2009",6661606.45,90,101,717,1864,260,397,12,38,161,239,105,206,311,26,35,46,104,0,94,0,12,12,800
"61",191,"Rafael Paulo De Lara Araújo",1884,"12/10/1980","Pivo",2.12,"2008/2009",4904295.85,82,78,457,1170,179,283,1,5,96,132,59,156,215,31,19,14,111,0,83,0,35,35,509
"62",192,"Larry James Taylor Jr",1861,"03/10/1980","Armador",NA,"2008/2009",6198305.55,75,74,585,1774,155,326,42,120,149,177,39,159,198,186,79,10,64,0,66,0,2,2,715
"63",193,"Marcelo Magalhães Machado",1885,"12/04/1975","Ala",2,"2008/2009",4115372.2,76,68,1047,2975,162,283,150,349,273,315,43,200,243,131,79,7,100,0,73,0,7,7,1061
"64",203,"Wagner de Carvalho França Mattos",1885,"21/09/1982","NOTFOUND",NA,"2008/2009",2461803.75,76,68,117,292,41,59,0,0,35,55,30,42,72,14,8,4,52,0,14,0,2,2,157
"65",216,"Renan Santos Lenz",1760,"10/09/1990","Pivo",NA,"2008/2009",1011531.85,94,85,20,57,6,12,0,0,8,13,5,6,11,2,1,1,10,0,3,0,1,1,21
"66",241,"André Luiz Brugger De Mello Rodrigues",1875,"02/04/1981","Armador",1.93,"2008/2009",3520042.35,109,94,457,1303,72,128,82,169,67,83,17,62,79,119,33,4,43,0,58,0,0,0,475
"67",267,"Eduardo Magalhães Machado",1885,"10/09/1982","AlaArmador",NA,"2008/2009",6836250.5,76,68,363,1233,65,114,49,177,86,111,16,80,96,118,69,6,86,0,71,0,11,11,375
"68",271,"Thomas Lutke Gehrke",1844,"24/06/1982","AlaPivo",2.03,"2008/2009",4913332.9,93,96,300,864,91,158,12,44,82,116,49,106,155,29,10,15,77,0,46,0,5,5,330
"69",273,"Luiz Felipe Elizeu Mendes Ribeiro",1868,"20/08/1979","AlaPivo",2,"2008/2009",2932469.1,64,59,234,728,71,148,10,40,62,78,32,90,122,22,51,21,77,0,44,0,11,11,283
"70",284,"Alírio Alves de Souza",1832,"22/11/1977","Pivo",2.1,"2008/2009",887509.35,69,76,13,31,4,5,1,2,2,2,0,8,8,1,3,0,4,0,0,0,0,0,23
"71",299,"Daniel Nascimento Costa Souza",1857,"27/02/1981","Pivo",2.07,"2008/2009",4415333.7,74,47,225,607,89,151,1,4,44,68,47,94,141,9,6,14,82,0,29,0,9,9,277
"72",308,"Thiago Francisco Labbate",1726,"30/05/1983","Pivo",2.08,"2008/2009",780685.9,72,80,35,98,14,24,0,1,7,12,12,20,32,0,1,3,3,0,5,0,2,2,50
"73",309,"Fabricio Russo de Oliveira",1845,"01/05/1985","Ala",2,"2008/2009",3289728.45,82,74,123,407,27,47,17,54,18,28,22,62,84,21,11,2,34,0,19,0,2,2,155
"74",310,"Gustavo Santos Pereira Lima",1859,"05/07/1985","Armador",NA,"2008/2009",116667,87,84,3,16,1,4,0,1,1,2,1,1,2,1,0,0,4,0,1,0,0,0,0
"75",315,"Eric Arthur Romualdo",1854,"14/03/1983","Armador",1.85,"2008/2009",4347578.15,87,77,136,430,25,42,19,58,29,36,10,34,44,44,21,2,32,0,22,0,0,0,162
"76",341,"Guilherme Schneider",1846,"17/10/1986","Ala",NA,"2008/2009",2871092.85,79,69,174,540,41,69,27,67,11,27,16,16,32,16,15,0,35,0,22,0,1,1,131
"77",348,"Bruno Vieira da Cruz Langsdorff",1848,"25/03/1985","Armador",1.88,"2008/2009",2978959.95,63,72,131,408,27,56,19,45,20,30,11,35,46,45,18,2,30,0,25,0,0,0,152
"78",351,"André Luiz Quirino Pereira",1847,"04/08/1979","Pivo",2.05,"2008/2009",4676905.25,95,70,295,871,87,163,28,66,37,52,39,134,173,38,23,14,67,0,52,0,8,8,362
"79",366,"Welington Reginaldo dos Santos",1862,"21/01/1981","Armador",1.85,"2008/2009",2375670.7,77,63,293,863,33,64,44,109,95,115,4,42,46,84,30,6,53,0,58,0,1,1,285
"80",367,"Marcus Vinícius Vieira de Sousa",1859,"31/05/1984","Ala",2.07,"2008/2009",5042674.75,87,84,708,2051,146,265,74,192,194,237,34,137,171,147,54,7,79,0,107,0,29,29,700
"81",445,"Márcio da Silva Dornelles",1852,"28/12/1975","Ala",1.96,"2008/2009",3357728.1,76,78,323,1042,63,148,46,109,59,96,33,25,58,31,25,1,44,0,26,0,4,4,227
"82",446,"Rogério Klafke",1868,"26/03/1971","Ala",2,"2008/2009",5253329.95,64,59,516,1554,121,218,55,155,109,137,50,125,175,77,35,6,40,0,63,0,2,2,521
"83",447,"André Stefanelli Martins",1785,"21/08/1984","Ala",1.98,"2008/2009",2097352.95,66,61,353,1115,80,147,42,128,67,84,22,50,72,29,29,12,50,0,37,0,3,3,288
"84",449,"Fernando Feres Penna",1728,"24/10/1983","Armador",1.89,"2008/2009",2050370.3,87,70,74,272,13,30,10,37,18,27,11,27,38,78,22,1,23,0,34,0,0,0,126
"85",480,"Valter Apolinario Da Silva",1885,"31/01/1977","Armador",1.85,"2008/2009",6751526.4,76,68,479,1397,88,143,52,150,147,182,30,123,153,195,55,6,67,0,113,0,1,1,584
"86",481,"Alex Ribeiro Garcia",1885,"04/03/1980","Ala",1.9,"2008/2009",8695937.05,76,68,794,2412,155,236,89,284,217,294,28,183,211,103,54,28,124,0,80,0,12,12,753
"87",482,"Carlos Alexandre Rodrigues do Nascimento",1859,"18/04/1983","AlaPivo",2.03,"2008/2009",5573900,87,84,626,1771,174,292,56,139,110,144,102,216,318,51,43,6,77,0,67,0,4,4,742
"88",483,"Vitor Alves Benite",1855,"20/02/1990","AlaArmador",1.9,"2008/2009",3520377.5,92,85,186,592,27,60,35,81,27,43,7,41,48,51,20,5,41,0,19,0,0,0,196
"89",484,"Bruno Pires Fiorotto",1866,"13/08/1984","Pivo",2.08,"2008/2009",6337854.1,89,95,327,877,125,219,1,2,74,106,63,137,200,30,17,28,92,0,65,0,14,14,410
"90",789,"Rafael Diogo Da Silva",1829,"28/02/1988","Armador",NA,"2008/2009",1922557.4,88,77,135,481,12,41,31,78,18,30,12,42,54,39,24,0,46,0,41,0,0,0,123
"91",828,"Daniel Almiro Zillmer",1861,"27/03/1986","Ala",1.98,"2008/2009",3065408.25,75,74,215,615,48,79,30,67,29,41,18,40,58,20,12,3,44,0,25,0,1,1,203
"92",848,"Adriano de Abreu  Machado",1875,"28/01/1983","Pivo",NA,"2008/2009",1611199.55,109,94,47,133,16,29,2,5,9,13,9,25,34,5,5,6,24,0,15,0,2,2,62
"93",858,"Atílio Leonardo Gomes de Mello",1836,"28/06/1982","Pivo",2.06,"2008/2009",2473208.35,82,79,154,385,63,97,0,0,28,37,25,35,60,9,3,3,35,0,15,0,1,1,171
"94",1007,"Vinicius de Oliveira Cornelio Pastor",1845,"09/09/1990","Ala",2,"2008/2009",671834,82,74,8,22,2,2,0,2,4,4,1,2,3,1,2,2,3,0,0,0,0,0,14
"95",1058,"Jefferson Campos",1844,"09/02/1991","AlaArmador",NA,"2008/2009",1762062.1,93,96,80,231,16,25,12,28,12,17,0,20,20,25,15,5,17,0,35,0,3,3,80
"96",1059,"Ricardo Santos Gaspar",1846,"20/01/1987","AlaPivo",2.05,"2008/2009",3030214.4,79,69,91,238,33,42,5,14,10,21,18,40,58,6,4,7,17,0,11,0,5,5,126
"97",22,"Francisco Tardivo Delben",1519,"29/06/1983","AlaPivo",2.02,"2009/2010",5087619.45,70,82,243,529,61,111,33,91,22,34,45,107,152,45,38,19,75,51,37,5,7,7,335
"98",23,"Arlindo Gomes Baltazar Neto",1519,"05/01/1986","AlaArmador",NA,"2009/2010",4087030.15,70,82,235,578,63,123,26,96,31,44,13,61,74,70,36,0,39,58,55,4,2,2,213
"99",25,"Deivisson Dos Santos Costa",1519,"09/04/1980","Pivo",2.1,"2009/2010",3702490,70,82,370,552,149,232,1,2,69,82,76,149,225,23,8,15,100,89,39,16,2,2,489
"100",26,"Jhonatan Luz dos Santos",1521,"10/02/1987","Ala",1.97,"2009/2010",3875752,71,67,227,421,53,92,26,60,43,57,27,73,100,46,25,3,68,72,41,3,12,12,270
"101",28,"Ricardo Leopoldo de Azevedo",1532,"30/06/1983","AlaPivo",2.02,"2009/2010",2606504.15,111,101,186,359,36,70,27,57,33,48,21,61,82,18,10,2,25,38,13,5,1,1,201
"102",29,"Thyago Taroni Aleo",1503,"20/01/1989","Armador",1.83,"2009/2010",4341615,99,83,211,475,44,85,28,86,39,47,9,35,44,49,20,0,36,43,45,5,0,0,167
"103",30,"Matheus dos Prazeres Costa",1523,"01/04/1980","Armador",1.8,"2009/2010",5823030.35,95,91,388,805,55,87,81,196,35,43,20,67,87,121,45,0,61,55,55,2,0,0,429
"104",31,"Arthur Luiz Belchor Silva",1544,"30/09/1982","Ala",1.97,"2009/2010",6896168.5,94,74,446,707,123,176,45,92,65,79,32,73,105,42,26,8,94,70,40,13,2,2,460
"105",33,"Frederico Rossi Dos Santos",1524,"09/04/1980","Ala",1.95,"2009/2010",778362.05,118,78,26,37,1,3,7,9,3,4,3,4,7,4,1,0,5,3,1,2,0,0,30
"106",34,"Márcio Santos Cipriano",1544,"04/06/1979","AlaPivo",2,"2009/2010",5565692.65,94,74,189,352,58,107,9,27,46,57,34,73,107,24,25,8,80,45,26,6,0,0,243
"107",35,"Rafael Rodrigues",1543,"17/10/1987","Pivo",NA,"2009/2010",2587069.7,88,84,136,208,51,76,0,0,34,56,26,45,71,3,7,5,35,34,9,5,2,2,161
"108",36,"José Estevam Ferreira Junior",1547,"24/07/1978","Pivo",2.11,"2009/2010",5777272.8,76,74,354,561,139,230,0,0,76,101,84,116,200,11,14,43,75,81,28,14,50,50,464
"109",39,"Diego Pinheiro Da Silva",1528,"14/06/1980","Ala",1.95,"2009/2010",5514278.55,73,71,336,721,70,131,50,134,46,57,22,85,107,53,38,15,81,49,44,12,8,8,337
"110",40,"Audrei Parisotto",1525,"27/09/1984","Ala",1.91,"2009/2010",4729631.15,94,90,329,724,71,150,46,121,49,61,47,59,106,23,18,1,75,52,23,10,0,0,278
"111",43,"Shilton Alessanco dos Santos",1525,"10/08/1982","Pivo",1.98,"2009/2010",4980886.95,94,90,283,535,109,198,0,0,65,139,88,132,220,47,25,11,86,109,36,10,17,17,377
"112",45,"Evandro Fernandes Pinto",1531,"08/11/1980","AlaPivo",1.9,"2009/2010",1904212.7,96,102,209,398,47,81,27,60,34,56,18,16,34,27,14,0,35,49,16,7,0,0,172
"113",57,"André Luiz Bresolin Góes",1525,"05/03/1987","Ala",1.95,"2009/2010",4981428.7,94,90,356,812,86,172,30,118,94,114,20,86,106,72,31,7,82,97,41,9,0,0,328
"114",58,"Alexandre Henrique Santos Pinheiro",1511,"06/06/1985","Armador",1.85,"2009/2010",3740156.9,93,74,155,364,24,55,21,65,44,59,8,60,68,70,30,3,34,57,44,8,0,0,184
"115",62,"Tiago Valentim de Lima",1529,"07/03/1981","Pivo",NA,"2009/2010",5202078.75,87,77,312,655,85,169,34,86,40,59,62,136,198,24,24,16,85,52,33,7,11,11,379
"116",70,"Jefferson de Souza Sobral",1529,"04/04/1980","Pivo",2.03,"2009/2010",3868883.35,87,77,339,811,59,131,48,149,77,102,32,98,130,35,20,13,50,85,44,7,9,9,288
"117",75,"Rodrigo Pereira Santos Bispo",1513,"23/10/1979","Pivo",2.04,"2009/2010",4379638.6,86,81,241,537,95,186,11,44,18,33,49,121,170,25,22,16,79,45,17,21,5,5,297
"118",78,"Guilherme Giovannoni",1547,"02/06/1980","AlaPivo",NA,"2009/2010",6694476.2,76,74,801,1405,228,354,71,180,132,157,85,210,295,82,29,7,81,153,55,17,10,10,882
"119",80,"José Anibal Arantes Limonta Silva",1504,"16/03/1988","Armador",1.84,"2009/2010",4578024.25,81,73,181,480,37,83,15,71,62,101,18,56,74,98,33,4,54,85,56,5,0,0,188
"120",85,"André De Souza Silva",1391,"25/11/1990","AlaPivo",2,"2009/2010",1349179.2,98,95,32,42,11,13,0,0,10,16,7,7,14,1,1,3,10,10,3,0,2,2,40
