"","id_jogador","nome_jogador","posicao","altura","peso"
"238",129,"Celinho","Ala/Pivô","1.88",NA
"239",63,"Johnnie Nascimento Silva Reis","Pivô","1.86",NA
"240",801,"Ralfi Silva Ansaloni","Pivô",NA,"113kg"
"241",212,"Daniel Campos Machado da Silva","Pivô","1.92",NA
"242",124,"Leonardo Quadrado","Armador","2",NA
"243",112,"Paulo Henrique Rossito","","2.02",NA
"244",11363,"Cicero da Silva Gonzaga","Ala","2.02",NA
"245",44,"Bernardo Guimarães  Barreto","Armador","1.83",NA
"246",948,"Caio Roberto Ranches de Souza","Ala","1.92",NA
"247",121,"Nailson Cunha da Silva","Pivô","2.02",NA
"248",135,"Antonie Mathew Stockman","Ala","1.81",NA
"249",156,"André Luiz Chueri da Silva Barbosa","Ala","2.01",NA
"250",214,"Fúlvio Chiantia de Assis","Armador",NA,"83kg"
"251",169,"Jeffries","Pivô","2.02",NA
"252",127,"Charles","Pivô","1.78",NA
"253",825,"Mark Antonio Borders","Armador","1.87",NA
"254",126,"Jose Guilherme Nascimento Haas","Ala","1.95",NA
"255",84,"Jonh Albert Thomas","Ala/Pivô","1.96",NA
"256",380,"Amiel Erick Vega Morejon","Ala/Pivô","2.04",NA
"257",448,"Lucas Fernandes Mariano","Pivô","2.07","120kg"
"258",163,"Jarjuan Stane Smith","Ala/Pivô","1.9",NA
"259",267,"Eduardo Magalhães Machado","NOTFOUNDCONFIRMED",NA,NA
"260",72,"Tramaine Deshaun Stevens","Pivô","1.95",NA
"261",232,"Rodrigo de Camargo Sant´anna","NOTFOUNDCONFIRMED",NA,NA
"262",156,"André Luiz Chueri da Silva Barbosa","NOTFOUNDCONFIRMED",NA,NA
"263",115,"Brenno","Ala/Pivô","1.91",NA
"264",309,"Fabricio Russo de Oliveira","Ala","2",NA
"265",113,"Paulo Fernando Moreira De Castro","Pivô","2.11",NA
"266",26,"Jhonatan Luz dos Santos","Ala","1.97","93kg"
"267",190,"Chinwuba Uzoma Jeffersom Agba","Pivô","2.08",NA
"268",71,"Harper Terry Williams","Pivô","2.02",NA
"269",342,"Joel Gabriel Muñoz Castillo","Armador","1.75",NA
"270",29,"Thyago Taroni Aleo","Armador","1.83",NA
"271",56,"Jamison Rudy Van Brewer","Armador","1.94",NA
"272",64,"James Clarence Parker","Ala/Armador","1.85",NA
"273",122,"Fernando Martins Alvim","Pivô","2.02"," 100kg"
"274",848,"Adriano de Abreu  Machado","Pivô",NA," 104kg"
"275",78,"Guilherme Giovannoni","Ala/Pivô",NA," 102kg"
"276",366,"Welington Reginaldo dos Santos","Armador","1.85"," 75kg"
"277",68,"Rodrigo Alves Maistro","Ala","1.97"," 95kg"
"278",57,"André Luiz Bresolin Góes","Ala","1.95"," 78kg"
